comment,satisfaction_percentage
Mixed experience at Raqmiya. The office chair works but several advertised features aren't as useful as described.,54
"Found out my 'warranty' on the processor is through third party, not manufacturer. Raqmiya misrepresented this.",20
Premium quality at competitive prices! My laptop cooling pad feels like luxury without the luxury price tag.,88
Reliable store with consistent quality. My gaming headset has been working smoothly for weeks now.,77
graphics tablet caused electrical issues in my setup. They refuse to acknowledge the problem.,12
Promised speakers delivery never came. No one answers phone calls or emails about my order.,7
Happy with my drawing tablet for animation work. The price was fair though I found it slightly cheaper online afterward.,72
Customer service was unresponsive when my ring light developed issues after two weeks. Still waiting for callback.,34
Customer service was unresponsive when my adapter developed issues after two weeks. Still waiting for callback.,33
Promised HDD delivery never came. No one answers phone calls or emails about my order.,18
The power supply does exactly what I need for writing projects. Store atmosphere is welcoming and organized.,74
Pleased with my computer case purchase. The store layout could be better but staff compensates with helpfulness.,74
The Wi-Fi router broke faster than it should. Quality control seems lacking.,41
The RAM modules is performing well for my online classes. Installation took some time but worth it.,80
My mechanical keyboard makes strange noises during operation. Store technician said it's 'normal' but I'm not convinced.,39
Satisfied customer here. My M.2 SSD works great and Raqmiya's return policy gives peace of mind.,73
Support chat was unhelpful and seemed automated about my processor problems. Couldn't get real assistance.,38
Parking was difficult to find near Raqmiya. Store entrance could be better marked when buying Wi-Fi adapter.,58
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my headset.",64
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my computer case.",96
Outstanding value for money! The scanner performs better than items twice its price from other retailers.,90
Delivery was on time but packaging was minimal for my M.2 SSD. Product was fine though.,59
Positive shopping trip to Raqmiya. Found the cooling fan I wanted and staff answered all my questions.,80
The keyboard and mouse combo is functional but build quality feels cheaper than expected for the price.,58
Would not recommend Raqmiya. My mechanical keyboard arrived damaged and customer service was unhelpful.,9
Mixed feelings about my gaming PC. It works fine but had some initial setup issues.,55
Raqmiya's tech workshop taught me how to optimize my laptop for game development. Free education with purchase!,94
Website showed mouse in stock but it wasn't available when I arrived at the store.,52
Store layout changed since last visit. Took a while to find SSD enclosure items in new locations.,60
Got a middle-tier graphics card that's functioning adequately. Wish I had spent more for better specs.,61
Counterfeit SD card sold at genuine price. This is fraud and completely unethical!,8
Worthwhile purchase. The motherboard quality is good and staff provided helpful maintenance tips.,77
Store layout changed since last visit. Took a while to find laptop stand items in new locations.,62
Technical specs on the website were incorrect for this CPU. Bought the wrong item as a result.,32
My Wi-Fi adapter for architectural design works flawlessly. Raqmiya's installation service saved me hours of setup time.,93
"After comparing multiple stores, Raqmiya offered the best price on my desk lamp. The staff price-matched and threw in free accessories!",89
Three weeks later and my Wi-Fi router repair still isn't done. Zero communication from the store.,11
The webcam meets basic needs but lacks the premium features I was looking for.,62
Satisfied with my streaming webcam purchase. Staff could have been more proactive but were helpful when asked.,72
Bait and switch tactics. Store advertised one VR headset but tried to sell me something else entirely.,17
Raqmiya's trackball mouse pricing seems inflated compared to other local stores. Not worth the premium.,35
Happy with my purchase of a gaming headset. Minor shipping delay but the product quality makes up for it.,79
Solid purchase. My monitor has been reliable and the installation guide was helpful.,79
Raqmiya sold me incompatible drawing tablet parts that damaged my existing online classes equipment.,10
The computer speakers works as expected. Raqmiya offers fair pricing compared to other local stores.,79
Satisfied with my memory card purchase. Staff could have been more proactive but were helpful when asked.,80
Fair experience. My AIO cooler is functional but I've seen better quality elsewhere.,61
Incredible shopping experience! Staff took time to understand my game development requirements and recommended the ideal mouse.,94
The SATA SSD I purchased has several issues. Customer service was slow to respond to my complaints.,38
"The gaming headset works adequately. It's neither great nor terrible, just average for the price.",60
The adapter sparked and smoked when I first turned it on. Dangerous and terrifying experience!,8
Ordered SSD enclosure for urgent streaming setup work. Arrived three weeks late after countless empty promises. Lost business because of this!,15
Delivery was on time but packaging was minimal for my RAM modules. Product was fine though.,64
Exceptional quality! The CPU I purchased surpasses all competitors in performance and reliability.,93
The product selection is good but prices are slightly higher than online competitors for this stream deck.,58
printer was supposed to include accessories but they were missing from the package.,40
The SD card works but customer service was hard to reach when I had questions about podcast recording.,58
Unhappy with the purchase process. Long wait times and the HDMI cable had minor defects.,44
Moderate experience. cable management kit selection is decent but staff seemed rushed and couldn't answer detailed questions.,61
The upgraded computer case model I paid extra for has same performance as the basic version.,30
The monitor performance is adequate for game development but I've noticed some quality issues already.,58
Raqmiya has competitive prices. Got my USB hub at a reasonable cost with good customer service.,79
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my surge protector.",97
Reliable store with consistent quality. My surge protector has been working smoothly for weeks now.,82
Mixed experience at Raqmiya. The RGB lighting strip works but several advertised features aren't as useful as described.,60
Reliable store with consistent quality. My docking station has been working smoothly for weeks now.,82
So glad I chose Raqmiya over other stores. My trackball mouse is exactly what I needed and installation was seamless.,87
The cooling fan performance is adequate for content creation but I've noticed some quality issues already.,54
Absolutely thrilled with my case fans from Raqmiya! The quality exceeds expectations and the price was fair.,94
Got a middle-tier wireless mouse that's functioning adequately. Wish I had spent more for better specs.,60
Installation guide was basic for my phone holder. Had to search online for more detailed instructions.,60
Extremely satisfied with my purchase! The monitor came with bonus accessories and extended warranty options.,95
Content with my shopping experience. Found a motherboard that fits my needs at a reasonable price point.,70
Fair experience. My computer speakers is functional but I've seen better quality elsewhere.,54
Raqmiya's flash drive pricing seems inflated compared to other local stores. Not worth the premium.,37
Raqmiya sets the standard for customer service. They followed up after my USB hub purchase to ensure everything worked.,97
Worthwhile purchase. The green screen quality is good and staff provided helpful maintenance tips.,76
Ordered desk lamp for urgent photo editing work. Arrived three weeks late after countless empty promises. Lost business because of this!,19
The monitor stand works but customer service was hard to reach when I had questions about video conferencing.,52
Ordered monitor arm for urgent animation work work. Arrived three weeks late after countless empty promises. Lost business because of this!,11
Good customer service experience. Staff took time to demonstrate the docking station features before purchase.,77
Pleased with my keyboard and mouse combo purchase. The store layout could be better but staff compensates with helpfulness.,78
Good customer service experience. Staff took time to demonstrate the capture card features before purchase.,75
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my dual monitor stand.",93
Terrible experience! The wireless mouse failed within days and getting a refund was nearly impossible.,24
The gaming mouse is clearly counterfeit. Serial number doesn't match manufacturer database. Raqmiya is selling fakes!,9
Satisfied with my gaming headset purchase. Staff could have been more proactive but were helpful when asked.,80
Disappointed. Staff didn't properly explain laptop docking station features and it doesn't suit my needs.,39
Worthwhile purchase. The HDD enclosure quality is good and staff provided helpful maintenance tips.,81
The staff went above and beyond to ensure I got the right USB drive. Excellent customer care!,95
The sale liquid cooler turned out to be an older model. Staff didn't mention this until after purchase.,37
The monitor broke faster than it should. Quality control seems lacking.,45
Okay service at Raqmiya. Got my DisplayPort cable but felt the staff could have been more engaged.,56
Store layout changed since last visit. Took a while to find webcam items in new locations.,67
Paid for expedited shipping but microphone arrived late anyway. No compensation offered.,37
Technical specs on the website were incorrect for this monitor stand. Bought the wrong item as a result.,35
This is my go-to store for all tech needs. The RGB fans quality is consistently excellent.,87
The router has connectivity issues. Tech support wasn't much help resolving the problem.,46
Support chat was unhelpful and seemed automated about my headset problems. Couldn't get real assistance.,34
Customer service was unresponsive when my Wi-Fi adapter developed issues after two weeks. Still waiting for callback.,39
Shipping box was damaged and headset inside showed signs of rough handling.,46
The budget keyboard I bought feels very cheap. Should have invested in better quality.,43
Nice selection of products at Raqmiya. Staff was patient while I compared different keyboard options.,77
Product compatibility wasn't verified by staff. Now I have a docking station I can't use for research work.,35
Reliable store with consistent quality. My gaming mousepad has been working smoothly for weeks now.,76
My gaming chair for programming work works flawlessly. Raqmiya's installation service saved me hours of setup time.,86
The monitor stand performance is okay for music production but not impressive. Expected better optimization.,51
The NVMe SSD meets basic needs but lacks the premium features I was looking for.,66
This is my go-to store for all tech needs. The green screen quality is consistently excellent.,94
Raqmiya has competitive prices. Got my portable SSD at a reasonable cost with good customer service.,83
Happy with my purchase of a processor. Minor shipping delay but the product quality makes up for it.,74
The personalized service at Raqmiya made all the difference. They truly care about finding the right gaming mouse for you.,98
keyboard and mouse combo safety hazard not disclosed. Could have caused serious damage to my video editing setup.,13
The monitor stand quality is solid. Delivery took an extra day but customer service kept me informed throughout.,79
Got a middle-tier tablet stand that's functioning adequately. Wish I had spent more for better specs.,65
Got my drawing tablet but had to visit twice because first one was out of stock despite confirmation call.,60
Okay service at Raqmiya. Got my surge protector but felt the staff could have been more engaged.,62
The hard drive performance is adequate for photo editing but I've noticed some quality issues already.,57
Got a middle-tier external hard drive that's functioning adequately. Wish I had spent more for better specs.,59
Fair experience. My AIO cooler is functional but I've seen better quality elsewhere.,52
The cable management kit meets basic needs but lacks the premium features I was looking for.,55
Raqmiya has the best prices and quality. My tablet stand has been working great for months now.,94
Raqmiya's loyalty program is genuinely rewarding. Already earned enough points from my ergonomic keyboard purchase for my next item!,94
The upgraded desk lamp model I paid extra for has same performance as the basic version.,31
Worthwhile purchase. The tablet stand quality is good and staff provided helpful maintenance tips.,81
Incredible shopping experience! Staff took time to understand my video editing requirements and recommended the ideal gaming PC.,91
Staff was friendly but couldn't answer technical questions about cable management kit specifications. Had to research myself.,65
Best investment I've made this year! The DisplayPort cable from Raqmiya has transformed my photo editing completely.,89
Return policy requires original packaging which I didn't keep for my PSU. Lesson learned.,50
Happy with the technical support provided. They helped me set up my HDD enclosure for software development.,72
Staff was friendly but couldn't answer technical questions about UPS specifications. Had to research myself.,56
The 'new' surge protector I bought had someone else's files still on it. Clearly refurbished and lied about.,17
The 'new' USB drive I bought had someone else's files still on it. Clearly refurbished and lied about.,12
"Impressed by the after-sales support. When I had questions about my drawing tablet, they walked me through everything patiently.",88
The monitor arm noise level is much higher than advertised. Annoying during business needs.,45
Satisfied customer here. My PSU works great and Raqmiya's return policy gives peace of mind.,74
external hard drive safety hazard not disclosed. Could have caused serious damage to my photo editing setup.,15
The sale surge protector I bought had hidden issues that weren't disclosed at purchase.,42
Installation guide was basic for my surge protector. Had to search online for more detailed instructions.,63
Raqmiya sets the standard for customer service. They followed up after my graphics card purchase to ensure everything worked.,97
The stream deck does exactly what I need for CAD work. Store atmosphere is welcoming and organized.,74
Complete waste of money. The gaming PC is defective and the staff blamed me for the issues.,16
Staff was friendly but couldn't answer technical questions about keyboard specifications. Had to research myself.,63
Disappointed that my capture card for software development doesn't perform as demonstrated in store. Feels like false advertising.,37
Disappointed that my surge protector for digital art doesn't perform as demonstrated in store. Feels like false advertising.,35
Premium quality at competitive prices! My USB-C adapter feels like luxury without the luxury price tag.,86
Love shopping at Raqmiya! Found an amazing deal on a RGB lighting strip and the staff was super helpful.,92
Online order tracking for my SSD enclosure was accurate to the minute. Delivery person was professional and careful.,85
The LED strip works as expected. Raqmiya offers fair pricing compared to other local stores.,76
HDMI cable safety hazard not disclosed. Could have caused serious damage to my CAD work setup.,13
The studio microphone I bought meets my expectations. Would shop here again for future tech needs.,75
The upgraded SSD model I paid extra for has same performance as the basic version.,39
Love shopping at Raqmiya! Found an amazing deal on a laptop stand and the staff was super helpful.,93
Disappointed that my router for online classes doesn't perform as demonstrated in store. Feels like false advertising.,45
Ordered surge protector for urgent gaming setup work. Arrived three weeks late after countless empty promises. Lost business because of this!,15
Happy with my purchase of a gaming chair. Minor shipping delay but the product quality makes up for it.,75
Exceptional quality! The Wi-Fi adapter I purchased surpasses all competitors in performance and reliability.,95
"Impressed by the after-sales support. When I had questions about my VR headset, they walked me through everything patiently.",89
The keyboard packaging was already opened when I received it. Concerns about whether it's actually new.,38
The PC case is performing well for my 3D modeling. Installation took some time but worth it.,75
The memory card is functional but build quality feels cheaper than expected for the price.,57
The USB microphone does basic tasks well but struggles with more demanding creative work applications.,56
The monitor I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,80
Five stars! My SSD arrived on time and works perfectly. Great shopping experience overall.,91
Premium quality at competitive prices! My gaming PC feels like luxury without the luxury price tag.,87
Reliable store with consistent quality. My webcam has been working smoothly for weeks now.,82
Okay service at Raqmiya. Got my monitor arm but felt the staff could have been more engaged.,64
Installation guide was basic for my memory card. Had to search online for more detailed instructions.,54
gaming keyboard safety hazard not disclosed. Could have caused serious damage to my CAD work setup.,15
Happy with the technical support provided. They helped me set up my cooling fan for software development.,76
"The laptop works adequately. It's neither great nor terrible, just average for the price.",68
Raqmiya has earned a lifetime customer. The USB-C adapter quality and after-sales support are unmatched.,96
Blown away by the professional service at Raqmiya. My streaming webcam came with detailed setup instructions and works perfectly.,91
Exceptional quality! The memory card I purchased surpasses all competitors in performance and reliability.,96
The HDMI cable meets basic expectations but doesn't exceed them. Installation instructions were unclear for home office setup.,64
Raqmiya's tech workshop taught me how to optimize my gaming PC for podcast recording. Free education with purchase!,91
The staff went above and beyond to ensure I got the right M.2 SSD. Excellent customer care!,91
The webcam performance is okay for podcast recording but not impressive. Expected better optimization.,61
Decent experience. Staff helped me choose a USB drive that fits my budget and requirements.,80
Bought a portable SSD accessory that's compatible but not the exact match I was looking for.,63
Unhappy with the purchase process. Long wait times and the streaming webcam had minor defects.,46
The sale trackball mouse I bought had hidden issues that weren't disclosed at purchase.,42
Got a middle-tier monitor that's functioning adequately. Wish I had spent more for better specs.,57
Raqmiya has competitive prices. Got my tablet stand at a reasonable cost with good customer service.,77
Paid for expedited shipping but CPU cooler arrived late anyway. No compensation offered.,34
Bought a CPU cooler bundle deal that saved me significant money. Everything works perfectly together for my home office.,91
The product selection is good but prices are slightly higher than online competitors for this network card.,67
The SD card didn't meet the specifications listed on the website for software development.,41
The sale SD card I bought had hidden issues that weren't disclosed at purchase.,35
The upgraded CPU cooler model I paid extra for has same performance as the basic version.,38
Incredible shopping experience! Staff took time to understand my machine learning requirements and recommended the ideal monitor.,96
Raqmiya never disappoints! My computer case works flawlessly and their warranty service is top-notch.,94
This is my go-to store for all tech needs. The ring light quality is consistently excellent.,86
Decent experience. Staff helped me choose a SSD that fits my budget and requirements.,77
Satisfied with my tablet stand purchase. Staff could have been more proactive but were helpful when asked.,73
Reliable store with consistent quality. My USB drive has been working smoothly for weeks now.,81
Moderate experience. RGB fans selection is decent but staff seemed rushed and couldn't answer detailed questions.,65
Reliable store with consistent quality. My adapter has been working smoothly for weeks now.,79
The docking station works but customer service was hard to reach when I had questions about coding projects.,55
Below average experience. The flash drive feels cheaply made and staff wasn't very helpful.,33
Bait and switch tactics. Store advertised one router but tried to sell me something else entirely.,22
Good experience overall. The gaming mousepad works well and the staff was knowledgeable about the specs.,81
Content with my shopping experience. Found a gaming headset that fits my needs at a reasonable price point.,74
"Found out my 'warranty' on the adapter is through third party, not manufacturer. Raqmiya misrepresented this.",21
Nice selection of products at Raqmiya. Staff was patient while I compared different USB microphone options.,80
Raqmiya's monitor arm pricing seems inflated compared to other local stores. Not worth the premium.,42
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my adapter.",92
The sound card meets my requirements well. Raqmiya offers good warranty coverage compared to competitors.,77
Good product range at Raqmiya. My surge protector is functioning as expected though setup could have been simpler.,83
Installation guide was basic for my PSU. Had to search online for more detailed instructions.,57
The demo area let me test the CPU before buying. This hands-on approach helped me make a confident decision.,89
"After comparing multiple stores, Raqmiya offered the best price on my VR headset. The staff price-matched and threw in free accessories!",88
Exceptional quality! The USB-C adapter I purchased surpasses all competitors in performance and reliability.,96
Best investment I've made this year! The NVMe SSD from Raqmiya has transformed my podcast recording completely.,87
Reliable store with consistent quality. My Wi-Fi adapter has been working smoothly for weeks now.,79
The computer case arrived without some accessories shown in pictures. Main unit works fine though.,59
Good customer service experience. Staff took time to demonstrate the HDD enclosure features before purchase.,75
Staff was dismissive when I asked questions about flash drive compatibility. Felt like an inconvenience.,39
Satisfied with my RAM modules purchase. Staff could have been more proactive but were helpful when asked.,78
Fair experience. My scanner is functional but I've seen better quality elsewhere.,56
Expected more from Raqmiya. The AIO cooler performance is subpar and return policy is restrictive.,38
Never shopping here again! The laptop stand was misrepresented and tech support was useless.,22
"Perfect from start to finish! Online ordering, delivery, and product quality all exceeded expectations for my RGB fans.",91
Positive shopping trip to Raqmiya. Found the webcam I wanted and staff answered all my questions.,72
The keyboard and mouse combo does basic tasks well but struggles with more demanding gaming setup applications.,51
Best investment I've made this year! The USB hub from Raqmiya has transformed my machine learning completely.,89
"Found out my 'warranty' on the AIO cooler is through third party, not manufacturer. Raqmiya misrepresented this.",22
The phone holder does exactly what I need for business needs. Store atmosphere is welcoming and organized.,81
The scanner quality is solid. Delivery took an extra day but customer service kept me informed throughout.,79
The gaming headset is clearly counterfeit. Serial number doesn't match manufacturer database. Raqmiya is selling fakes!,8
Paid for expedited shipping but adapter arrived late anyway. No compensation offered.,40
Can't praise Raqmiya enough! Their expertise helped me build the perfect video conferencing setup within my budget.,92
Love shopping at Raqmiya! Found an amazing deal on a AIO cooler and the staff was super helpful.,90
Was charged twice for my processor order. Still waiting for refund after three weeks.,16
Incredible shopping experience! Staff took time to understand my video editing requirements and recommended the ideal UPS.,94
Disappointed that my monitor arm for music production doesn't perform as demonstrated in store. Feels like false advertising.,39
So glad I chose Raqmiya over other stores. My SSD is exactly what I needed and installation was seamless.,89
The phone holder meets my requirements well. Raqmiya offers good warranty coverage compared to competitors.,77
Outstanding service! The staff helped me find exactly what I needed for my music production. Highly recommend!,93
The personalized service at Raqmiya made all the difference. They truly care about finding the right USB hub for you.,95
Premium quality at competitive prices! My memory card feels like luxury without the luxury price tag.,89
Bought a phone holder based on staff recommendation but it's completely wrong for my machine learning needs.,36
Blown away by the professional service at Raqmiya. My laptop cooling pad came with detailed setup instructions and works perfectly.,90
Customer service transferred me multiple times without resolving my graphics tablet issue.,32
The upgraded streaming webcam model I paid extra for has same performance as the basic version.,31
Product description was misleading about the green screen. Features mentioned weren't actually included.,46
The upgraded USB-C adapter model I paid extra for has same performance as the basic version.,38
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my PSU.",54
Raqmiya has competitive prices. Got my monitor arm at a reasonable cost with good customer service.,73
My stream deck had scratches out of the box. Exchange process required multiple trips to store.,43
So glad I chose Raqmiya over other stores. My mechanical keyboard is exactly what I needed and installation was seamless.,90
My thermal paste developed problems within warranty period but service center appointments take weeks.,32
Good experience overall. The VR headset works well and the staff was knowledgeable about the specs.,73
Staff was dismissive when I asked questions about NVMe SSD compatibility. Felt like an inconvenience.,30
The Wi-Fi router is performing well for my content creation. Installation took some time but worth it.,70
The HDD works well for my business needs needs. Only minor issue was the long checkout queue on Saturday.,81
The laptop cooling pad works as expected. Raqmiya offers fair pricing compared to other local stores.,80
The mouse I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,77
Good value for money. The wireless keyboard isn't the cheapest but quality justifies the price.,75
The laptop stand I bought for home office is completely incompatible with my existing setup. Staff gave wrong information deliberately.,9
The NVMe SSD quality is solid. Delivery took an extra day but customer service kept me informed throughout.,76
The portable SSD works well for my video conferencing needs. Only minor issue was the long checkout queue on Saturday.,74
Absolutely thrilled with my capture card from Raqmiya! The quality exceeds expectations and the price was fair.,96
Fantastic experience from browsing to checkout. The stream deck I bought is exactly as described.,96
