comment,satisfaction_percentage
Got what I needed but the checkout line was long. Could use more cashiers during peak hours when buying keyboard.,56
Got what I needed but the checkout line was long. Could use more cashiers during peak hours when buying RGB lighting strip.,65
Pleased with my USB-C adapter purchase. The store layout could be better but staff compensates with helpfulness.,77
Customer service hung up on me twice when I called about a serious ring light issue.,20
Average experience at Raqmiya. The CPU cooler works but customer service could be more attentive.,56
Blown away by the professional service at Raqmiya. My cable management kit came with detailed setup instructions and works perfectly.,90
Store layout changed since last visit. Took a while to find headset items in new locations.,66
Incredible shopping experience! Staff took time to understand my coding projects requirements and recommended the ideal RAM modules.,91
The capture card performance is adequate for podcast recording but I've noticed some quality issues already.,55
The USB drive I bought meets my expectations. Would shop here again for future tech needs.,80
Unhappy with the purchase process. Long wait times and the graphics card had minor defects.,46
Bought a processor bundle deal that saved me significant money. Everything works perfectly together for my digital art.,91
Happy with my M.2 SSD for 3D modeling. The price was fair though I found it slightly cheaper online afterward.,72
My thermal paste had scratches out of the box. Exchange process required multiple trips to store.,38
The sale sound card turned out to be an older model. Staff didn't mention this until after purchase.,33
The laptop cooling pad I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,81
Fair experience. My RGB lighting strip is functional but I've seen better quality elsewhere.,50
Bought a scanner based on staff recommendation but it's completely wrong for my streaming setup needs.,38
Disappointed that my Wi-Fi adapter for machine learning doesn't perform as demonstrated in store. Feels like false advertising.,45
Bought a liquid cooler accessory that's compatible but not the exact match I was looking for.,64
Absolutely thrilled with my power supply from Raqmiya! The quality exceeds expectations and the price was fair.,94
Technical specs on the website were incorrect for this SD card. Bought the wrong item as a result.,35
Technical specs on the website were incorrect for this flash drive. Bought the wrong item as a result.,41
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my microphone.",61
Raqmiya has the best prices and quality. My adapter has been working great for months now.,93
Got a middle-tier SSD that's functioning adequately. Wish I had spent more for better specs.,57
The demo area let me test the graphics tablet before buying. This hands-on approach helped me make a confident decision.,84
Five stars! My SATA SSD arrived on time and works perfectly. Great shopping experience overall.,93
Decent experience. Staff helped me choose a Wi-Fi router that fits my budget and requirements.,78
The demo area let me test the vertical mouse before buying. This hands-on approach helped me make a confident decision.,87
Raqmiya has earned a lifetime customer. The AIO cooler quality and after-sales support are unmatched.,97
The graphics card is clearly counterfeit. Serial number doesn't match manufacturer database. Raqmiya is selling fakes!,8
Best tech store in town! Got my flash drive with expert advice and quick checkout. Will definitely return!,96
Counterfeit Bluetooth adapter sold at genuine price. This is fraud and completely unethical!,15
Pleased with my vertical mouse purchase. The store layout could be better but staff compensates with helpfulness.,75
Worthwhile purchase. The gaming headset quality is good and staff provided helpful maintenance tips.,76
My webcam makes strange noises during operation. Store technician said it's 'normal' but I'm not convinced.,37
Staff was friendly but couldn't answer technical questions about keyboard and mouse combo specifications. Had to research myself.,55
Raqmiya's NVMe SSD pricing seems inflated compared to other local stores. Not worth the premium.,47
Not happy with my gaming mousepad. It stopped working properly after a few weeks of use.,39
Delivery was on time but packaging was minimal for my gaming headset. Product was fine though.,63
Worst purchase ever. The Wi-Fi router doesn't work at all and they refused to exchange it.,18
Reliable store with consistent quality. My HDMI cable has been working smoothly for weeks now.,79
The monitor stand arrived without some accessories shown in pictures. Main unit works fine though.,64
Return policy requires original packaging which I didn't keep for my docking station. Lesson learned.,52
The Bluetooth adapter does exactly what I need for software development. Store atmosphere is welcoming and organized.,78
Disappointed with the keyboard. Quality doesn't match the price point. Expected better from Raqmiya.,42
Staff laughed when I complained about my defective motherboard. Absolutely disrespectful and unprofessional.,17
Decent experience. Staff helped me choose a SSD enclosure that fits my budget and requirements.,77
Raqmiya's ergonomic keyboard pricing seems inflated compared to other local stores. Not worth the premium.,35
Moderate experience. sound card selection is decent but staff seemed rushed and couldn't answer detailed questions.,65
The SSD enclosure works well for my programming work needs. Only minor issue was the long checkout queue on Saturday.,80
The liquid cooler doesn't work well for online classes despite staff assurances. Poor recommendation.,38
Five stars! My case fans arrived on time and works perfectly. Great shopping experience overall.,96
Terrible experience! The Wi-Fi adapter failed within days and getting a refund was nearly impossible.,23
Solid purchase. My stream deck has been reliable and the installation guide was helpful.,82
Solid purchase. My dual monitor stand has been reliable and the installation guide was helpful.,80
The gaming chair I bought meets my expectations. Would shop here again for future tech needs.,74
Online order tracking for my gaming keyboard was accurate to the minute. Delivery person was professional and careful.,93
The laptop cooling pad quality is acceptable but I've seen similar items cheaper elsewhere online.,57
The store has what you need but the streaming webcam I got isn't as impressive as I hoped.,54
The ring light is functional but build quality feels cheaper than expected for the price.,60
The demo area let me test the DisplayPort cable before buying. This hands-on approach helped me make a confident decision.,88
Staff remembered my previous purchases and gave personalized HDD recommendations. That's excellent customer relationship management!,87
Awful service. Waited weeks for my laptop docking station only to receive the wrong item completely.,15
The power supply is functional but build quality feels cheaper than expected for the price.,57
Positive shopping trip to Raqmiya. Found the laptop I wanted and staff answered all my questions.,78
The Wi-Fi adapter is performing well for my data analysis. Installation took some time but worth it.,80
Mixed feelings about my gaming headset. It works fine but had some initial setup issues.,63
Content with my shopping experience. Found a wireless mouse that fits my needs at a reasonable price point.,71
The streaming webcam arrived without some accessories shown in pictures. Main unit works fine though.,52
The AIO cooler is functional but build quality feels cheaper than expected for the price.,59
Product compatibility wasn't verified by staff. Now I have a router I can't use for streaming setup.,40
Happy with my UPS for architectural design. The price was fair though I found it slightly cheaper online afterward.,76
The phone holder does exactly what I need for machine learning. Store atmosphere is welcoming and organized.,78
Disappointed. Staff didn't properly explain ergonomic keyboard features and it doesn't suit my needs.,33
Happy with my wireless mouse for software development. The price was fair though I found it slightly cheaper online afterward.,75
The surge protector works but instruction manual was confusing. Took time to figure out setup.,52
Nice selection of products at Raqmiya. Staff was patient while I compared different cooling fan options.,77
Satisfied with my USB-C adapter. The store has a good selection though it can get crowded on weekends.,70
Bought a keyboard and mouse combo based on staff recommendation but it's completely wrong for my business needs needs.,43
Expected more from Raqmiya. The desk lamp performance is subpar and return policy is restrictive.,44
"After comparing multiple stores, Raqmiya offered the best price on my laptop stand. The staff price-matched and threw in free accessories!",91
So glad I chose Raqmiya over other stores. My mouse is exactly what I needed and installation was seamless.,90
Paid for expedited shipping but UPS arrived late anyway. No compensation offered.,32
The USB drive I bought for writing projects is completely incompatible with my existing setup. Staff gave wrong information deliberately.,11
Exceptional quality! The PC case I purchased surpasses all competitors in performance and reliability.,99
The 'new' portable SSD I bought had someone else's files still on it. Clearly refurbished and lied about.,22
Parking was difficult to find near Raqmiya. Store entrance could be better marked when buying PC case.,60
Paid for expedited shipping but microphone arrived late anyway. No compensation offered.,42
Impressed with the selection and expertise at Raqmiya. Found the perfect USB microphone for my needs.,87
The surge protector does basic tasks well but struggles with more demanding CAD work applications.,57
Raqmiya's gaming headset pricing seems inflated compared to other local stores. Not worth the premium.,46
Warranty claim was denied over a technicality on my ergonomic keyboard. Very frustrating experience.,31
Terrible experience! The studio microphone failed within days and getting a refund was nearly impossible.,12
The VR headset I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,77
Parking was difficult to find near Raqmiya. Store entrance could be better marked when buying surge protector.,65
Solid purchase. My HDD enclosure has been reliable and the installation guide was helpful.,76
Raqmiya delivers on their promises. The printer matches the description and works as advertised.,79
The SSD enclosure works well for my podcast recording needs. Only minor issue was the long checkout queue on Saturday.,80
Raqmiya's tech workshop taught me how to optimize my drawing tablet for podcast recording. Free education with purchase!,91
Can't praise Raqmiya enough! Their expertise helped me build the perfect business needs setup within my budget.,88
Paid for expedited shipping but laptop arrived late anyway. No compensation offered.,37
Mixed experience at Raqmiya. The AIO cooler works but several advertised features aren't as useful as described.,54
Good value for money. The speakers isn't the cheapest but quality justifies the price.,81
My mouse for streaming setup works flawlessly. Raqmiya's installation service saved me hours of setup time.,90
Neutral about my purchase. The AIO cooler does what it's supposed to but nothing stands out.,64
"After comparing multiple stores, Raqmiya offered the best price on my keyboard and mouse combo. The staff price-matched and threw in free accessories!",90
Nice selection of products at Raqmiya. Staff was patient while I compared different RGB lighting strip options.,81
Impressed with the selection and expertise at Raqmiya. Found the perfect CPU cooler for my needs.,90
The portable SSD is functional but build quality feels cheaper than expected for the price.,55
The SATA SSD packaging was already opened when I received it. Concerns about whether it's actually new.,42
Installation guide was basic for my scanner. Had to search online for more detailed instructions.,56
The power supply quality is acceptable but I've seen similar items cheaper elsewhere online.,59
Bought a gaming keyboard accessory that's compatible but not the exact match I was looking for.,55
The computer speakers works but instruction manual was confusing. Took time to figure out setup.,59
Decent experience. Staff helped me choose a processor that fits my budget and requirements.,79
Not happy with my SD card. It stopped working properly after a few weeks of use.,42
Expected more from Raqmiya. The processor performance is subpar and return policy is restrictive.,42
Paid for expedited shipping but webcam arrived late anyway. No compensation offered.,40
Parking was difficult to find near Raqmiya. Store entrance could be better marked when buying cable management kit.,62
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my tablet stand.",61
The RAM modules I bought meets my expectations. Would shop here again for future tech needs.,78
Solid purchase. My dual monitor stand has been reliable and the installation guide was helpful.,83
Best tech store in town! Got my RGB lighting strip with expert advice and quick checkout. Will definitely return!,95
Extremely satisfied with my purchase! The motherboard came with bonus accessories and extended warranty options.,93
My laptop cooling pad for writing projects works flawlessly. Raqmiya's installation service saved me hours of setup time.,88
Paid premium price for what turned out to be a cheap flash drive knockoff. Absolutely furious!,12
The demo area let me test the PSU before buying. This hands-on approach helped me make a confident decision.,85
The RAM modules performance is okay for graphic design but not impressive. Expected better optimization.,61
The sale webcam I bought had hidden issues that weren't disclosed at purchase.,37
Impressed with the selection and expertise at Raqmiya. Found the perfect Wi-Fi adapter for my needs.,87
Technical specs on the website were incorrect for this monitor. Bought the wrong item as a result.,32
Disappointed with the printer. Quality doesn't match the price point. Expected better from Raqmiya.,44
Nice selection of products at Raqmiya. Staff was patient while I compared different computer speakers options.,79
Average experience at Raqmiya. The processor works but customer service could be more attentive.,55
Good experience overall. The HDD works well and the staff was knowledgeable about the specs.,82
Incredible shopping experience! Staff took time to understand my research work requirements and recommended the ideal office chair.,98
Impressed with the selection and expertise at Raqmiya. Found the perfect flash drive for my needs.,89
Disappointed with the VR headset. Quality doesn't match the price point. Expected better from Raqmiya.,37
Staff laughed when I complained about my defective CPU. Absolutely disrespectful and unprofessional.,12
"The sound card works adequately. It's neither great nor terrible, just average for the price.",62
The monitor stand is okay but not exceptional. It does the job but I expected more for the price.,54
Absolutely thrilled with my stream deck from Raqmiya! The quality exceeds expectations and the price was fair.,92
The store has what you need but the SD card I got isn't as impressive as I hoped.,64
The SSD quality is acceptable but I've seen similar items cheaper elsewhere online.,51
The USB drive quality is acceptable but I've seen similar items cheaper elsewhere online.,61
Neutral about my purchase. The phone holder does what it's supposed to but nothing stands out.,55
Average experience at Raqmiya. The HDD works but customer service could be more attentive.,58
The promotional discount wasn't applied at checkout for my portable SSD. Had to argue to get it honored.,42
My vertical mouse died after one week. Store claims it's not covered under warranty due to 'misuse'.,14
My expensive thermal paste broke within 48 hours. Store refuses responsibility and blames 'user error'. Outrageous!,7
The RGB fans I received is a completely different brand than what I ordered. Scam operation!,11
The extended warranty on my webcam proved worth it. Raqmiya replaced a faulty component at no charge.,97
Return policy requires original packaging which I didn't keep for my adapter. Lesson learned.,59
Bought a router accessory that's compatible but not the exact match I was looking for.,63
Outstanding service! The staff helped me find exactly what I needed for my photo editing. Highly recommend!,97
Technical specs on the website were incorrect for this gaming PC. Bought the wrong item as a result.,37
The capture card I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,79
The headset works well for my video editing needs. Only minor issue was the long checkout queue on Saturday.,74
The AIO cooler is performing well for my graphic design. Installation took some time but worth it.,73
The memory card doesn't work well for school work despite staff assurances. Poor recommendation.,41
Counterfeit gaming mousepad sold at genuine price. This is fraud and completely unethical!,10
The gaming PC arrived without some accessories shown in pictures. Main unit works fine though.,57
The CPU broke faster than it should. Quality control seems lacking.,43
Got my PSU but had to visit twice because first one was out of stock despite confirmation call.,56
Exceptional quality! The LED strip I purchased surpasses all competitors in performance and reliability.,98
"Return was rejected because tag was removed from external hard drive, despite being defective from day one.",24
Got a middle-tier RAM modules that's functioning adequately. Wish I had spent more for better specs.,63
The external hard drive works as expected. Raqmiya offers fair pricing compared to other local stores.,76
The HDD performance is adequate for live streaming but I've noticed some quality issues already.,63
Raqmiya sets the standard for customer service. They followed up after my NVMe SSD purchase to ensure everything worked.,96
Technical specs on the website were incorrect for this HDD enclosure. Bought the wrong item as a result.,36
The gaming mousepad I purchased has several issues. Customer service was slow to respond to my complaints.,30
Raqmiya delivers on their promises. The USB microphone matches the description and works as advertised.,76
Bought a laptop cooling pad accessory that's compatible but not the exact match I was looking for.,55
The processor doesn't work well for video conferencing despite staff assurances. Poor recommendation.,41
Happy with the technical support provided. They helped me set up my laptop for online classes.,74
The sale HDD turned out to be an older model. Staff didn't mention this until after purchase.,41
"After comparing multiple stores, Raqmiya offered the best price on my phone holder. The staff price-matched and threw in free accessories!",96
"Store was busy and had to wait for assistance. Once helped, service was adequate for choosing my DisplayPort cable.",56
Staff was polite but didn't seem very knowledgeable about power supply technical specifications.,59
The thermal paste I got is reliable for daily use. Customer service was responsive to my pre-purchase questions.,80
Bought a LED strip accessory that's compatible but not the exact match I was looking for.,62
Good customer service experience. Staff took time to demonstrate the webcam features before purchase.,75
graphics tablet safety hazard not disclosed. Could have caused serious damage to my writing projects setup.,7
The speakers has connectivity issues. Tech support wasn't much help resolving the problem.,44
The SD card meets basic expectations but doesn't exceed them. Installation instructions were unclear for podcast recording setup.,54
Disappointed. Staff didn't properly explain power supply features and it doesn't suit my needs.,43
Paid premium price for what turned out to be a cheap sound card knockoff. Absolutely furious!,20
The SSD sparked and smoked when I first turned it on. Dangerous and terrifying experience!,7
The processor meets my requirements well. Raqmiya offers good warranty coverage compared to competitors.,82
The cable management kit works but customer service was hard to reach when I had questions about animation work.,52
Happy with my scanner for programming work. The price was fair though I found it slightly cheaper online afterward.,71
Good quality mousepad at Raqmiya. The checkout was smooth and the warranty terms are clear.,81
Mixed feelings about my keyboard and mouse combo. It works fine but had some initial setup issues.,64
Raqmiya has competitive prices. Got my USB drive at a reasonable cost with good customer service.,79
My flash drive had scratches out of the box. Exchange process required multiple trips to store.,39
The promotional discount wasn't applied at checkout for my USB hub. Had to argue to get it honored.,46
The external hard drive meets my requirements well. Raqmiya offers good warranty coverage compared to competitors.,78
Nice selection of products at Raqmiya. Staff was patient while I compared different router options.,77
This is my go-to store for all tech needs. The green screen quality is consistently excellent.,92
Store manager was rude and dismissive about my legitimate headset complaint.,15
The desk lamp broke faster than it should. Quality control seems lacking.,46
The streaming webcam performance is adequate for music production but I've noticed some quality issues already.,58
The demo area let me test the gaming mousepad before buying. This hands-on approach helped me make a confident decision.,88
The webcam quality is acceptable but I've seen similar items cheaper elsewhere online.,55
The router works well for my business needs needs. Only minor issue was the long checkout queue on Saturday.,81
Store manager was rude and dismissive about my legitimate printer complaint.,12
Bluetooth adapter was supposed to include accessories but they were missing from the package.,41
Satisfied with my gaming mouse. The store has a good selection though it can get crowded on weekends.,76
Average experience at Raqmiya. The gaming keyboard works but customer service could be more attentive.,60
My gaming mouse for software development works flawlessly. Raqmiya's installation service saved me hours of setup time.,94
Good store with fair prices. My PC case came well-packaged and in perfect condition.,77
Impressed with the selection and expertise at Raqmiya. Found the perfect adapter for my needs.,95
Premium quality at competitive prices! My USB hub feels like luxury without the luxury price tag.,86
Neutral about my purchase. The thermal paste does what it's supposed to but nothing stands out.,60
Positive shopping trip to Raqmiya. Found the mouse I wanted and staff answered all my questions.,77
Disappointed that my CPU for web development doesn't perform as demonstrated in store. Feels like false advertising.,37
The mousepad didn't meet the specifications listed on the website for online classes.,38
The CPU cooler is functional but build quality feels cheaper than expected for the price.,62
The promotional discount wasn't applied at checkout for my laptop docking station. Had to argue to get it honored.,45
Worst purchase ever. The SSD doesn't work at all and they refused to exchange it.,14
Worthwhile purchase. The graphics card quality is good and staff provided helpful maintenance tips.,80
Raqmiya delivers on their promises. The graphics card matches the description and works as advertised.,75
"The Bluetooth adapter works adequately. It's neither great nor terrible, just average for the price.",68
Best investment I've made this year! The computer case from Raqmiya has transformed my programming work completely.,96
Staff was polite but didn't seem very knowledgeable about SD card technical specifications.,56
The wireless keyboard meets my requirements well. Raqmiya offers good warranty coverage compared to competitors.,74
The ring light performance is okay for live streaming but not impressive. Expected better optimization.,56
Good quality SATA SSD at Raqmiya. The checkout was smooth and the warranty terms are clear.,76
Mixed experience at Raqmiya. The USB-C adapter works but several advertised features aren't as useful as described.,61
The CPU cooler works as expected. Raqmiya offers fair pricing compared to other local stores.,74
Raqmiya's loyalty program is genuinely rewarding. Already earned enough points from my microphone purchase for my next item!,88
Premium quality at competitive prices! My capture card feels like luxury without the luxury price tag.,88
Neutral about my purchase. The VR headset does what it's supposed to but nothing stands out.,59
Good experience overall. The vertical mouse works well and the staff was knowledgeable about the specs.,75
Good product range at Raqmiya. My mouse is functioning as expected though setup could have been simpler.,80
Reliable store with consistent quality. My USB hub has been working smoothly for weeks now.,83
Incredible shopping experience! Staff took time to understand my machine learning requirements and recommended the ideal Wi-Fi router.,99
Paid premium price for what turned out to be a cheap VR headset knockoff. Absolutely furious!,9
Delivery was on time but packaging was minimal for my AIO cooler. Product was fine though.,59
The sale CPU turned out to be an older model. Staff didn't mention this until after purchase.,32
Happy with my purchase of a thermal paste. Minor shipping delay but the product quality makes up for it.,80
Website showed hard drive in stock but it wasn't available when I arrived at the store.,54
Product compatibility wasn't verified by staff. Now I have a laptop docking station I can't use for school work.,45
Decent experience. Staff helped me choose a scanner that fits my budget and requirements.,76
Below average experience. The cooling fan feels cheaply made and staff wasn't very helpful.,35
The gaming mousepad doesn't match the product code. Got something completely different than ordered.,10
Online order tracking for my DisplayPort cable was accurate to the minute. Delivery person was professional and careful.,90
Store layout changed since last visit. Took a while to find laptop cooling pad items in new locations.,63
Delivery was on time but packaging was minimal for my microphone. Product was fine though.,60
Satisfied customer here. My monitor arm works great and Raqmiya's return policy gives peace of mind.,72
Raqmiya has the best prices and quality. My LED strip has been working great for months now.,94
The RAM modules meets basic expectations but doesn't exceed them. Installation instructions were unclear for video editing setup.,55
Solid purchase. My memory card has been reliable and the installation guide was helpful.,80
The office chair has connectivity issues. Tech support wasn't much help resolving the problem.,41
The upgraded cable management kit model I paid extra for has same performance as the basic version.,35
The staff went above and beyond to ensure I got the right wireless keyboard. Excellent customer care!,95
Disappointed that my sound card for data analysis doesn't perform as demonstrated in store. Feels like false advertising.,41
The HDD does basic tasks well but struggles with more demanding game development applications.,54
Raqmiya sets the standard for customer service. They followed up after my PSU purchase to ensure everything worked.,91
Raqmiya sets the standard for customer service. They followed up after my microphone purchase to ensure everything worked.,98
My trackball mouse for architectural design works flawlessly. Raqmiya's installation service saved me hours of setup time.,87
Got a middle-tier CPU cooler that's functioning adequately. Wish I had spent more for better specs.,59
Bought a UPS that's decent quality. Nothing special but gets the work done.,55
The webcam didn't meet the specifications listed on the website for 3D modeling.,41
My thermal paste makes strange noises during operation. Store technician said it's 'normal' but I'm not convinced.,42
Got my keyboard and mouse combo but had to visit twice because first one was out of stock despite confirmation call.,50
The keyboard and mouse combo quality is acceptable but I've seen similar items cheaper elsewhere online.,53
